Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.4-5,NA,4.3.0
ape,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,5.7-1,NA,4.3.0
askpass,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.0,NA,4.3.0
assertthat,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.2.1,NA,4.3.0
backports,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.4.1,NA,4.3.0
base,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
base64enc,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.1-3,NA,4.3.0
bit,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.0.5,NA,4.3.0
bit64,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.0.5,NA,4.3.0
bitops,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0-7,NA,4.3.0
boot,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.3-28.1,recommended,4.3.1
brew,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0-8,NA,4.3.0
brio,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1.3,NA,4.3.0
bslib,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.5.1,NA,4.3.0
cachem,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.8,NA,4.3.0
callr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.7.3,NA,4.3.0
class,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,7.3-22,recommended,4.3.1
classInt,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4-9,NA,4.3.0
cli,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.6.1,NA,4.3.0
clipr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.8.0,NA,4.3.0
cluster,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.1.4,recommended,4.3.1
codetools,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.2-19,recommended,4.3.1
collections,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.3.7,NA,4.3.0
colorspace,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.1-0,NA,4.3.1
commonmark,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.9.0,NA,4.3.0
compiler,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
cpp11,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4.6,NA,4.3.0
crayon,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.5.2,NA,4.3.0
credentials,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.3.2,NA,4.3.0
crosstalk,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.0,NA,4.3.0
curl,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,5.0.2,NA,4.3.1
cyclocomp,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1.1,NA,4.3.0
data.table,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.14.8,NA,4.3.0
datasets,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
DBI,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1.3,NA,4.3.0
desc,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.4.2,NA,4.3.0
devtools,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.4.5,NA,4.3.0
diffobj,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.3.5,NA,4.3.0
digest,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.6.33,NA,4.3.0
downlit,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4.3,NA,4.3.0
dplyr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1.3,NA,4.3.1
e1071,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.7-13,NA,4.3.0
ellipsis,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.3.2,NA,4.3.0
evaluate,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.21,NA,4.3.0
fansi,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.4,NA,4.3.1
farver,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.1.1,NA,4.3.1
fastmap,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1.1,NA,4.3.0
fontawesome,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.5.2,NA,4.3.0
foreign,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.8-84,recommended,4.3.1
freesurfer,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.6.8,NA,4.3.1
fs,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.6.3,NA,4.3.0
generics,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.1.3,NA,4.3.1
geojsonsf,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.0.3,NA,4.3.0
geometries,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.2.3,NA,4.3.0
